Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Li, QY; Kong, R; Li, YC; Cai, HY; Wang, SQ; Kong, LH; Chen, GH; Yin, DW",AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37",0,,Proceedings Paper,,WOS:001769433900092
"Qi, ZY; Guo, QR; Wang, LB; Zhou, YC",MultiMoE: Multimodal Mixture of Experts Adapter for Semantic Segmentation of Remote Sensing Images,2026,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0,10.1109/TGRS.2026.3702194,Article,,WOS:001797700000015
"Pan, L; Lu, ZP; Zheng, Y; Yan, CY; Wen, HT; Tao, LW; Xu, C",Task-adaptive continual learning of vision language models via prototype routing and prompt,2026,NEUROCOMPUTING,0,10.1016/j.neucom.2026.132740,Article,,WOS:001679668000001
"Xia, YX; Zhao, YH; Wan, J; Jiang, CF",FLUXLog: A Federated Mixture-of-Experts Framework for Unified Log Anomaly Detection,2026,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,0,10.1109/TPDS.2025.3638693,Article,,WOS:001641455000001
"Cui, N; Wang, WH; Ning, Y",Lightweight Fairness for LLM-Based Recommendations via Kernelized Projection and Gated Adapters,2026,"MACHINE LEARNING AND PRINCIPLES AND PRACTICE OF KNOWLEDGE DISCOVERY IN DATABASES, ECML PKDD 2025, PT I",0,10.1007/978-3-032-19096-3_18,Proceedings Paper,,WOS:001782225900018
"Zhuang, Y; Gong, C; Zheng, ZZ; Wu, F; Chen, GH",Resource-Efficient LLM Customization on Mobile Devices Through Proxy Submodel Tuning,2026,IEEE TRANSACTIONS ON NETWORKING,1,10.1109/TON.2026.3658387,Article,,WOS:001706369300002
"Xu, R; Chen, L; Lao, HZ; Zhang, JQ; Zhu, X",DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,"PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026",0,10.1145/3770854.3780270,Proceedings Paper,,WOS:001783169400148
"Xu, K; Shen, XZ; Wang, SS; Wang, MZ; Yang, X",DeFT-LoRA: Decoupled and Fused Tuning with LoRA Experts for Universal Cross-Domain Retrieval,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 13",0,,Proceedings Paper,,WOS:001768165900096
"Braga, M; Raganato, A; Pasi, G",MAdaKron: A mixture-of-AdaKron adapters,2026,KNOWLEDGE-BASED SYSTEMS,0,10.1016/j.knosys.2025.115086,Article,,WOS:001649394700002
"Wei, ZH; Xie, DR; Zhou, Y; Hu, XF",Degradation classification-objective free: Learning a degradation-invariant semantic prior for all-in-one image restoration,2026,KNOWLEDGE-BASED SYSTEMS,0,10.1016/j.knosys.2026.116104,Article,,WOS:001765164300001
"Song, ZH; Huang, RK; Li, AQ; Shen, AR; Chen, H",Adapter-Regularised Continual Learning for Dynamic Financial Sentiment Encoding in Multi-Modal Market Fusion,2026,EXPERT SYSTEMS,1,10.1111/exsy.70178,Article,,WOS:001645306700003
"Guo, JY; Liu, Q; Tan, KL; Yuan, D; Liu, YP",Physics prior adapter tuning for thermal infrared tracking,2027,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.133472,Article,,WOS:001821043000001
"Kuzmenko, D; Shvai, N",MoIRA: Modular instruction routing architecture for multi-task robotics,2026,NEUROCOMPUTING,0,10.1016/j.neucom.2026.132962,Article,,WOS:001688338400001
